CNES - Estabelecimentos por Tipo - Maranhão
Quantidade por Ano/mês compet. e Tipo de Estabelecimento
Período:Ago/2005-Mai/2025
"Ano/mês compet.";"POSTO DE SAUDE";"CENTRO DE SAUDE/UNIDADE BASICA";"POLICLINICA";"HOSPITAL GERAL";"HOSPITAL ESPECIALIZADO";"UNIDADE MISTA";"PRONTO SOCORRO GERAL";"PRONTO SOCORRO ESPECIALIZADO";"CONSULTORIO ISOLADO";"CLINICA/CENTRO DE ESPECIALIDADE";"UNIDADE DE APOIO DIAGNOSE E TERAPIA (SADT ISOLADO)";"UNIDADE MOVEL TERRESTRE";"UNIDADE MOVEL DE NIVEL PRE-HOSPITALAR NA AREA DE URGENCIA";"FARMACIA";"UNIDADE DE VIGILANCIA EM SAUDE";"COOPERATIVA OU EMPRESA DE CESSAO DE TRABALHADORES NA SAUDE";"CENTRO DE PARTO NORMAL - ISOLADO";"HOSPITAL/DIA - ISOLADO";"CENTRAL DE REGULACAO DE SERVICOS DE SAUDE";"LABORATORIO CENTRAL DE SAUDE PUBLICA LACEN";"CENTRAL DE GESTAO EM SAUDE";"CENTRO DE ATENCAO HEMOTERAPIA E OU HEMATOLOGICA";"CENTRO DE ATENCAO PSICOSSOCIAL";"CENTRO DE APOIO A SAUDE DA FAMILIA";"UNIDADE DE ATENCAO A SAUDE INDIGENA";"PRONTO ATENDIMENTO";"POLO ACADEMIA DA SAUDE";"TELESSAUDE";"CENTRAL DE REGULACAO MEDICA DAS URGENCIAS";"SERVICO DE ATENCAO DOMICILIAR ISOLADO(HOME CARE)";"UNIDADE DE ATENCAO EM REGIME RESIDENCIAL";"OFICINA ORTOPEDICA";"LABORATORIO DE SAUDE PUBLICA";"CENTRAL DE REGULACAO DO ACESSO";"CENTRAL DE NOTIFICACAO,CAPTACAO E DISTRIB DE ORGAOS ESTADUAL";"POLO DE PREVENCAO DE DOENCAS E AGRAVOS E PROMOCAO DA SAUDE";"CENTRAL DE ABASTECIMENTO";"CENTRO DE IMUNIZACAO";"Total"
"2016/Dez";572;1694;114;219;30;48;2;6;549;607;424;15;129;43;184;2;2;6;3;-;193;1;90;49;33;16;51;4;11;7;-;-;7;8;1;4;-;-;5124
"2017/Jan";570;1704;114;219;30;48;3;6;553;615;425;16;131;43;185;2;2;6;3;-;198;1;90;49;33;16;52;4;11;7;-;-;7;8;1;4;-;-;5156
"2017/Fev";556;1699;115;220;31;48;3;6;552;621;427;17;131;44;185;2;2;6;3;-;201;1;91;49;34;16;51;4;11;7;-;-;7;8;1;5;-;-;5154
"2017/Mar";556;1699;115;221;31;48;3;7;549;636;429;17;134;45;184;2;2;6;3;-;205;1;91;49;34;16;52;4;11;8;-;-;7;9;1;5;-;-;5180
"2017/Abr";549;1706;116;223;31;48;3;6;549;646;432;21;134;47;188;2;2;6;1;-;206;1;92;49;38;16;53;4;11;8;-;-;8;12;1;6;-;-;5215
"2017/Mai";531;1722;117;225;31;46;3;7;551;655;436;26;132;48;190;2;2;6;1;-;206;1;91;48;38;16;54;4;11;8;-;-;8;12;1;6;-;-;5235
"2017/Jun";530;1718;120;224;31;47;3;7;554;660;437;27;133;50;194;2;2;6;-;-;208;2;92;46;38;16;54;4;11;8;-;-;8;12;1;6;-;-;5251
"2017/Jul";527;1723;120;223;32;48;3;6;553;680;438;29;133;49;197;2;2;6;-;-;208;2;93;49;44;16;57;4;11;8;-;-;9;12;1;6;-;-;5291
"2017/Ago";526;1725;122;223;32;48;3;6;556;689;440;31;133;48;198;2;2;6;-;-;210;2;93;49;44;16;58;3;10;8;-;-;9;12;1;6;-;-;5311
"2017/Set";522;1732;123;221;32;49;3;6;555;699;442;34;133;49;199;2;2;6;-;-;211;2;96;49;44;16;59;3;10;8;-;-;9;12;1;6;-;-;5335
"2017/Out";509;1746;126;221;32;50;4;5;555;705;447;36;133;50;203;2;2;6;-;-;211;2;96;51;45;17;61;3;10;8;-;-;8;16;1;6;-;-;5367
"2017/Nov";505;1754;128;220;32;51;4;5;555;715;449;36;133;49;202;2;2;6;-;-;211;2;98;51;45;17;61;3;10;8;-;-;9;18;1;6;-;-;5388
"2017/Dez";503;1760;130;221;32;50;4;5;551;722;452;36;133;49;202;2;2;6;-;-;212;2;98;51;45;17;61;3;10;8;-;-;9;18;1;6;-;-;5401
"2018/Jan";491;1777;130;221;31;52;4;5;552;733;457;35;133;49;205;2;2;6;-;-;213;2;98;51;45;17;63;3;10;9;-;-;9;18;1;6;-;-;5430
"2018/Fev";501;1778;130;221;31;52;4;4;553;735;456;35;133;49;206;2;2;6;-;-;213;2;98;47;45;18;63;3;10;9;-;-;10;18;1;6;-;-;5441
"2018/Mar";504;1780;131;222;31;50;4;4;554;743;458;35;133;48;208;2;3;6;-;-;213;2;97;47;45;18;64;3;10;8;-;-;10;19;1;6;-;-;5459
"2018/Abr";503;1782;131;220;30;50;4;3;554;748;460;37;133;49;210;2;3;6;-;-;214;2;99;46;45;19;72;3;10;9;-;-;11;19;1;6;-;-;5481
"2018/Mai";503;1788;132;219;30;50;4;3;555;761;462;38;133;47;211;2;3;6;-;-;215;2;100;45;45;19;72;3;10;9;-;-;11;20;1;6;-;-;5505
"2018/Jun";505;1789;136;221;30;48;4;3;555;767;464;38;133;48;210;2;3;6;-;-;218;2;100;46;45;19;72;3;10;9;-;-;10;23;1;6;-;-;5526
"2018/Jul";499;1795;136;222;29;49;4;3;558;776;466;37;133;48;210;2;3;6;-;-;219;2;100;46;45;19;72;3;10;10;-;-;10;23;2;7;-;-;5544
"2018/Ago";495;1803;136;223;29;49;4;3;556;784;467;38;133;51;210;2;3;6;-;-;220;2;101;46;45;19;75;3;10;12;-;-;10;23;1;7;-;-;5566
"2018/Set";493;1807;137;224;30;49;4;3;556;793;470;42;133;50;210;2;3;6;-;-;221;2;101;46;45;19;79;3;10;12;-;-;10;23;1;7;-;-;5591
"2018/Out";493;1815;138;218;29;49;4;2;557;800;471;43;133;50;210;2;3;6;-;-;219;2;101;47;46;20;82;3;10;12;-;-;11;23;1;7;-;-;5607
"2018/Nov";493;1818;139;218;29;48;4;2;557;806;471;43;133;51;210;2;3;6;-;-;219;2;101;46;46;20;84;3;10;12;-;-;12;24;2;7;-;-;5621
"2018/Dez";491;1821;139;219;29;47;4;2;558;808;474;43;133;52;210;2;3;6;-;-;219;2;101;45;46;20;85;3;10;12;-;-;12;24;2;7;-;-;5629
"2019/Jan";471;1846;139;218;29;47;4;2;566;819;481;44;133;59;210;2;3;6;-;-;220;2;100;45;46;20;85;3;10;13;-;-;13;24;2;7;-;-;5669
"2019/Fev";448;1871;142;220;29;44;4;2;573;831;481;44;133;62;209;2;3;6;-;-;221;2;100;45;46;19;83;3;10;13;-;-;13;24;1;7;-;-;5691
"2019/Mar";448;1871;142;221;29;44;4;2;575;842;485;43;135;69;210;2;3;6;-;-;222;2;101;45;46;19;83;3;10;14;-;-;13;24;1;7;-;-;5721
"2019/Abr";446;1872;143;221;30;44;4;2;576;851;489;43;137;69;211;2;3;6;-;-;222;2;102;45;46;19;83;3;10;14;-;-;13;24;1;7;-;1;5741
"2019/Mai";451;1869;144;221;32;44;4;2;577;851;490;44;137;69;216;2;3;7;-;-;222;2;102;44;46;19;86;3;10;14;-;-;13;24;1;7;-;1;5757
"2019/Jun";450;1870;144;221;32;44;4;2;578;885;442;44;137;68;211;13;3;7;-;-;221;2;102;43;46;19;86;3;10;14;-;-;15;25;1;7;2;2;5753
"2019/Jul";450;1871;141;219;34;43;4;2;546;897;439;44;136;68;212;13;3;7;-;-;219;2;101;43;46;19;86;3;10;14;-;-;15;26;1;7;2;2;5725
"2019/Ago";443;1874;145;219;34;43;4;2;543;904;439;45;137;68;213;13;3;7;-;-;219;2;101;43;46;19;86;3;10;15;-;-;15;26;1;7;3;2;5734
"2019/Set";442;1873;144;222;34;43;4;2;546;921;453;45;135;70;213;14;3;7;-;-;219;2;100;43;46;19;88;3;10;14;-;-;15;26;1;7;3;3;5770
"2019/Out";438;1886;146;224;33;42;4;2;547;926;457;45;135;70;213;14;3;7;-;-;219;2;100;43;46;19;88;3;10;14;-;-;15;26;1;7;3;3;5791
"2019/Nov";435;1887;147;225;33;41;4;2;548;923;458;45;135;69;214;16;3;7;-;-;219;2;101;43;46;20;88;3;10;14;-;-;16;26;1;7;3;3;5794
"2019/Dez";436;1888;147;227;33;40;4;2;548;920;463;45;130;69;214;16;2;7;-;-;219;2;101;43;46;20;89;3;10;15;-;-;16;26;1;7;3;4;5796
"2020/Jan";436;1892;150;227;31;40;4;2;549;925;458;45;130;69;214;16;3;7;-;-;219;2;100;45;46;20;90;3;10;15;-;-;16;26;1;6;4;4;5805
"2020/Fev";434;1892;154;227;31;40;4;2;549;933;462;45;132;69;214;16;3;7;-;-;218;2;100;45;50;20;90;3;10;15;-;-;16;26;1;6;4;5;5825
"2020/Mar";429;1900;157;228;31;40;4;2;552;942;465;45;132;69;214;16;3;7;-;-;218;2;100;45;50;20;90;3;10;16;-;-;16;26;1;6;4;5;5848
"2020/Abr";429;1900;157;230;31;40;4;2;554;942;467;43;132;69;214;17;3;7;-;-;219;2;100;45;50;20;90;3;10;16;-;-;16;26;1;7;5;5;5856
"2020/Mai";477;1852;139;231;31;40;4;1;480;897;425;42;132;70;214;16;3;5;-;-;218;2;100;62;45;20;89;3;10;16;-;-;17;26;2;7;16;5;5697
"2020/Jun";491;1847;137;238;29;40;4;2;476;903;423;43;132;70;214;16;3;5;-;-;218;2;100;62;45;21;90;3;10;16;-;-;17;26;2;7;17;5;5714
"2020/Jul";488;1871;156;240;30;39;4;3;537;956;466;45;132;70;214;19;3;7;-;-;218;2;100;45;50;21;95;3;10;16;-;-;16;26;1;7;17;7;5914
"2020/Ago";484;1875;163;239;30;39;4;3;550;962;474;46;132;70;214;20;3;7;-;-;218;2;100;42;50;20;95;3;10;16;-;-;16;26;1;8;18;7;5947
"2020/Set";486;1880;169;237;30;39;4;3;550;965;474;46;132;70;214;20;3;7;-;-;218;2;100;42;49;20;95;3;10;16;-;-;17;26;1;8;18;7;5961
"2020/Out";486;1882;169;237;30;39;4;3;550;979;476;46;132;80;214;24;3;7;-;-;218;2;101;42;49;20;95;3;10;16;-;-;16;26;1;8;19;7;5994
"2020/Nov";486;1881;170;237;31;38;4;3;555;981;476;46;133;85;214;26;3;7;-;-;218;2;101;41;49;20;96;2;10;16;-;-;16;26;1;9;19;7;6009
"2020/Dez";482;1880;171;238;31;38;4;3;555;983;476;46;133;85;214;26;3;7;-;-;217;2;101;41;49;20;95;2;10;16;-;-;16;27;1;9;29;6;6016
"2021/Jan";486;1877;172;238;31;38;4;3;559;992;482;46;134;103;214;27;3;7;1;-;217;2;103;41;45;20;95;2;10;16;-;-;16;28;1;9;56;10;6088
"2021/Fev";483;1892;172;236;32;36;4;3;563;1003;484;46;136;114;216;28;4;7;1;-;217;2;103;40;48;20;96;2;10;17;-;-;17;28;1;9;60;10;6140
"2021/Mar";482;1896;175;238;32;36;4;3;564;1007;488;45;137;117;217;28;4;7;1;-;218;2;103;40;49;20;97;2;10;17;-;-;17;30;1;9;60;11;6167
"2021/Abr";483;1898;175;238;32;37;4;3;567;1016;494;45;137;118;217;28;4;7;1;-;218;2;103;39;49;20;99;2;10;17;-;-;17;30;1;9;61;12;6193
"2021/Mai";472;1912;177;240;32;36;4;3;572;1033;497;45;138;123;217;29;4;7;1;-;218;2;103;39;51;20;100;2;10;17;-;-;17;30;1;9;61;12;6234
"2021/Jun";470;1912;185;242;32;37;4;3;574;1041;506;45;140;123;219;29;4;7;2;-;219;2;106;39;51;20;101;2;10;17;-;-;18;30;1;9;61;12;6273
"2021/Jul";465;1928;188;242;32;37;4;3;578;1053;510;45;140;123;218;29;4;8;1;-;219;2;106;40;51;20;102;2;10;18;-;-;18;30;1;9;62;12;6310
"2021/Ago";463;1926;191;242;32;37;4;3;579;1059;513;44;140;125;218;29;4;8;1;-;219;2;106;40;51;20;103;2;10;18;-;-;18;31;1;9;62;13;6323
"2021/Set";465;1929;194;244;32;35;4;3;583;1068;518;44;144;126;218;29;4;8;1;-;219;2;106;40;51;20;104;2;10;18;-;-;18;31;1;9;62;13;6355
"2021/Out";462;1938;197;245;32;34;4;3;581;1069;519;44;146;127;218;31;4;8;2;-;219;2;106;40;51;20;104;2;10;16;-;-;17;30;1;9;62;13;6366
"2021/Nov";462;1943;199;244;32;35;4;3;581;1080;519;44;146;129;219;31;4;9;-;-;219;2;106;38;51;20;105;2;10;16;-;-;18;32;1;8;63;13;6388
"2021/Dez";462;1949;202;242;33;33;4;3;580;1090;524;44;146;130;220;31;4;9;-;-;219;2;106;38;52;20;106;2;10;16;-;-;18;32;1;8;63;14;6413
"2022/Jan";462;1951;204;241;34;33;4;3;580;1101;527;44;146;131;220;31;4;9;-;-;219;2;106;38;52;20;106;2;10;16;-;-;18;31;1;7;64;14;6431
"2022/Fev";458;1960;205;245;33;32;4;3;579;1112;529;44;146;133;222;32;4;9;-;-;232;2;107;38;52;21;106;2;10;18;-;-;18;16;1;6;64;14;6457
"2022/Mar";458;1967;208;245;33;33;4;3;580;1121;529;44;147;134;223;32;4;9;-;-;232;2;107;38;54;21;106;2;10;18;-;-;18;17;1;6;64;14;6484
"2022/Abr";454;1966;211;246;32;33;4;3;584;1138;540;45;147;136;223;34;4;9;-;-;231;2;106;39;54;22;107;2;10;18;-;-;18;17;2;6;65;14;6522
"2022/Mai";468;1969;213;245;32;32;4;3;584;1157;551;46;147;144;223;37;4;9;-;-;231;2;107;40;42;22;107;2;10;19;-;-;19;16;2;6;65;14;6572
"2022/Jun";468;1978;212;245;32;32;4;3;584;1169;566;47;147;153;223;37;4;9;-;-;231;2;107;39;42;22;106;2;10;19;-;-;19;16;2;6;66;14;6616
"2022/Jul";451;1989;211;247;33;32;4;3;571;1184;555;47;147;153;221;39;4;9;-;-;221;2;107;39;42;22;103;2;10;19;-;-;20;16;2;10;66;14;6595
"2022/Ago";442;1999;214;247;33;32;4;3;575;1194;560;47;147;154;220;38;5;9;-;-;221;2;107;39;42;22;103;2;10;19;-;-;20;15;2;10;66;14;6617
"2022/Set";434;2015;215;246;33;32;4;3;577;1210;567;47;147;154;220;40;5;9;-;-;221;2;107;37;41;22;103;2;10;19;-;-;22;13;2;10;66;14;6649
"2022/Out";429;2021;217;248;33;32;4;3;580;1216;569;48;147;155;220;40;5;9;-;-;221;3;106;37;41;22;103;2;10;19;-;-;22;13;2;10;66;14;6667
"2022/Nov";429;2022;218;249;33;32;4;3;580;1228;576;49;146;155;220;40;5;9;-;-;221;3;106;37;41;22;102;2;10;20;-;-;22;13;2;10;66;14;6689
"2022/Dez";404;2049;219;248;34;32;4;3;581;1246;588;49;146;156;220;40;5;9;-;-;221;3;106;36;41;22;102;2;10;21;-;-;22;13;2;10;65;14;6723
"2023/Jan";394;2062;220;247;34;32;4;3;579;1250;586;49;146;156;220;41;5;9;-;-;220;5;106;32;40;22;105;2;10;21;-;-;22;13;2;10;67;15;6729
"2023/Fev";394;2059;222;247;34;31;4;3;580;1251;588;49;146;156;222;41;5;9;-;-;219;5;108;32;40;22;104;2;10;21;-;-;22;13;2;10;67;15;6733
"2023/Mar";394;2056;222;246;34;31;4;3;582;1278;593;49;146;157;223;42;5;9;-;-;220;5;109;32;40;22;104;2;10;21;1;-;22;13;2;10;68;15;6770
"2023/Abr";399;2060;223;248;34;30;4;3;582;1287;595;49;146;162;223;42;5;9;-;-;221;5;109;32;41;23;104;2;10;21;1;-;22;13;2;10;67;15;6799
"2023/Mai";395;2066;226;249;34;30;4;3;588;1301;594;49;146;162;224;42;4;9;-;-;221;5;110;32;41;23;104;2;10;22;1;-;22;13;2;10;68;18;6830
"2023/Jun";389;2084;226;249;33;29;4;3;587;1309;595;49;146;164;224;42;4;9;-;-;222;5;110;38;41;23;104;2;10;22;1;-;23;13;2;10;68;18;6858
"2023/Jul";387;2089;225;250;34;29;4;3;592;1310;597;50;146;166;224;42;4;9;-;-;222;5;110;39;41;23;103;2;10;23;1;-;25;13;2;10;70;18;6878
"2023/Ago";387;2092;228;251;34;29;4;3;595;1325;599;48;145;191;226;42;4;8;-;-;221;6;110;38;41;23;103;2;10;23;1;-;25;13;2;10;70;18;6927
"2023/Set";392;2085;234;250;34;29;4;3;591;1345;604;48;143;191;226;42;4;8;-;-;221;6;111;35;41;23;103;2;10;25;1;-;26;14;2;10;73;20;6956
"2023/Out";391;2091;236;250;33;29;4;3;587;1351;604;48;143;209;226;42;4;8;-;-;221;7;111;36;42;23;102;2;10;26;1;-;26;14;2;10;73;20;6985
"2023/Nov";391;2093;236;250;33;29;4;3;591;1363;603;48;143;231;226;47;4;8;-;-;221;7;111;36;42;23;102;2;10;26;1;-;26;14;2;10;73;20;7029
"2023/Dez";386;2096;235;250;33;30;4;3;591;1367;605;48;143;242;226;47;4;8;-;-;221;7;112;36;41;23;102;2;10;26;1;-;26;14;2;10;73;20;7044
"2024/Jan";383;2096;239;250;33;30;4;3;588;1388;591;49;142;244;226;54;4;8;-;-;221;23;111;35;43;23;102;2;10;26;1;-;26;14;2;10;76;20;7077
"2024/Fev";386;2095;240;250;33;30;5;3;595;1391;592;50;142;244;226;55;4;8;-;-;221;24;112;35;43;23;102;2;10;26;1;-;26;14;2;10;76;20;7096
"2024/Mar";386;2105;239;250;33;30;5;3;597;1406;594;51;142;245;226;59;4;8;-;-;221;24;113;33;43;23;103;2;10;27;1;-;25;14;1;10;74;20;7127
"2024/Abr";383;2114;242;252;31;30;5;3;601;1417;595;54;141;247;225;61;4;8;-;-;221;24;112;34;43;23;104;2;10;28;1;-;25;14;1;10;73;20;7158
"2024/Mai";382;2125;242;252;30;31;5;3;614;1427;599;55;141;247;224;66;4;8;-;-;221;24;111;34;44;23;104;2;11;28;1;-;25;14;1;10;73;20;7201
"2024/Jun";369;2151;243;253;30;31;5;3;616;1439;602;56;141;247;225;68;4;8;-;-;221;24;111;33;41;22;107;4;11;27;1;-;25;14;1;10;73;20;7236
"2024/Jul";357;2166;250;253;30;30;5;3;624;1447;599;56;141;249;224;71;4;8;-;-;220;24;111;33;41;22;110;5;11;27;1;-;25;15;1;11;73;21;7268
"2024/Ago";357;2168;249;253;30;30;5;3;627;1471;600;56;142;250;224;73;4;8;-;-;220;24;114;28;41;23;110;5;11;27;1;-;25;15;1;11;73;22;7301
"2024/Set";351;2167;251;255;30;30;4;3;624;1491;602;56;144;250;224;74;4;8;-;-;220;23;115;28;47;23;111;5;11;27;1;-;25;15;1;11;73;22;7326
"2024/Out";354;2168;258;255;30;30;4;3;627;1504;603;56;145;252;224;77;4;8;-;-;220;23;115;28;48;23;111;5;11;27;1;1;25;15;1;12;73;22;7363
"2024/Nov";353;2170;259;254;30;30;4;3;633;1512;599;56;146;252;224;82;4;8;-;-;220;29;116;28;49;24;111;5;11;27;1;1;25;15;1;12;74;21;7389
"2024/Dez";353;2171;261;254;30;30;4;3;630;1525;600;56;146;252;224;82;4;8;-;-;220;29;116;28;51;25;111;5;11;27;1;1;26;16;1;13;74;21;7409
"2025/Jan";355;2172;262;257;30;27;4;3;628;1535;603;56;147;251;224;81;4;8;-;-;220;29;116;27;51;25;110;5;11;27;1;1;26;17;1;13;76;21;7424
"2025/Fev";359;2183;262;257;30;28;3;4;627;1547;608;57;148;256;226;82;4;8;-;-;220;30;117;27;51;25;107;5;11;27;1;1;27;17;1;13;77;21;7467
"2025/Mar";358;2183;264;260;30;25;3;4;632;1554;607;57;149;257;227;81;4;8;-;-;220;30;116;27;59;24;106;5;11;27;1;1;28;17;1;13;78;23;7490
"2025/Abr";355;2193;265;260;30;25;3;4;631;1571;608;56;151;257;230;80;4;8;-;-;220;30;118;27;60;24;109;5;11;27;1;1;29;17;1;13;78;23;7525
"2025/Mai";353;2200;275;260;30;25;3;4;638;1583;610;56;156;258;230;82;4;8;-;-;220;30;118;30;60;24;109;5;11;27;1;1;29;17;1;13;78;23;7572
 Fonte: Ministério da Saúde - Cadastro Nacional dos Estabelecimentos de Saúde do Brasil - CNES
 Nota:
 - Os dados relativos ao Cadastro Nacional de Estabelecimentos de Saúde (CNES) exibidos no TABNET referem-se aos registros constantes no Banco de Dados Nacional do CNES com status ATIVO.
 - A partir do processamento de junho de 2012, houve mudança na classificação da natureza e esfera dos estabelecimentos. Com isso, temos que:
 
 Até maio de 2012 estas informações estão disponíveis como "Natureza" e "Esfera Administrativa".
 De junho de 2012 a outubro de 2015, estão disponíveis tanto como "Natureza" e "Esfera Administrativa", como "Natureza Jurídica" e "Esfera Jurídica".
 A partir de novembro de 2015, estão disponíveis como "Natureza Jurídica" e "Esfera Jurídica".
 
