CNES - Estabelecimentos por Tipo - Maranhão
Quantidade por Município e Tipo de Estabelecimento
Período:Mai/2025
"Município";"POSTO DE SAUDE";"CENTRO DE SAUDE/UNIDADE BASICA";"POLICLINICA";"HOSPITAL GERAL";"HOSPITAL ESPECIALIZADO";"UNIDADE MISTA";"PRONTO SOCORRO GERAL";"PRONTO SOCORRO ESPECIALIZADO";"CONSULTORIO ISOLADO";"CLINICA/CENTRO DE ESPECIALIDADE";"UNIDADE DE APOIO DIAGNOSE E TERAPIA (SADT ISOLADO)";"UNIDADE MOVEL TERRESTRE";"UNIDADE MOVEL DE NIVEL PRE-HOSPITALAR NA AREA DE URGENCIA";"FARMACIA";"UNIDADE DE VIGILANCIA EM SAUDE";"COOPERATIVA OU EMPRESA DE CESSAO DE TRABALHADORES NA SAUDE";"CENTRO DE PARTO NORMAL - ISOLADO";"HOSPITAL/DIA - ISOLADO";"CENTRAL DE GESTAO EM SAUDE";"CENTRO DE ATENCAO HEMOTERAPIA E OU HEMATOLOGICA";"CENTRO DE ATENCAO PSICOSSOCIAL";"CENTRO DE APOIO A SAUDE DA FAMILIA";"UNIDADE DE ATENCAO A SAUDE INDIGENA";"PRONTO ATENDIMENTO";"POLO ACADEMIA DA SAUDE";"TELESSAUDE";"CENTRAL DE REGULACAO MEDICA DAS URGENCIAS";"SERVICO DE ATENCAO DOMICILIAR ISOLADO(HOME CARE)";"UNIDADE DE ATENCAO EM REGIME RESIDENCIAL";"OFICINA ORTOPEDICA";"LABORATORIO DE SAUDE PUBLICA";"CENTRAL DE REGULACAO DO ACESSO";"CENTRAL DE NOTIFICACAO,CAPTACAO E DISTRIB DE ORGAOS ESTADUAL";"POLO DE PREVENCAO DE DOENCAS E AGRAVOS E PROMOCAO DA SAUDE";"CENTRAL DE ABASTECIMENTO";"CENTRO DE IMUNIZACAO";"Total"
"210810 PAULO RAMOS";-;9;-;1;-;-;-;-;-;2;-;-;-;1;-;-;-;-;1;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;15
"210820 PEDREIRAS";4;11;1;4;-;-;-;-;3;25;-;-;-;-;1;-;-;-;1;1;2;-;-;-;-;-;-;-;-;-;1;-;-;-;4;1;59
"210825 PEDRO DO ROSARIO";-;9;-;1;-;-;-;-;-;-;-;1;-;-;1;-;-;-;1;-;1;1;-;-;1;-;-;-;-;-;-;-;-;-;-;-;16
"210830 PENALVA";2;15;-;1;-;1;-;-;-;3;-;-;-;-;2;-;-;-;1;-;1;-;-;-;2;-;-;-;-;-;2;-;-;-;-;-;30
"210840 PERI MIRIM";2;5;-;1;-;-;-;-;-;-;-;1;-;1;1;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;12
"210845 PERITORO";-;7;-;1;-;-;-;-;-;2;-;1;1;-;1;-;-;-;1;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;15
"210850 PINDARE-MIRIM";4;14;-;1;-;-;-;-;-;-;1;-;-;1;2;-;-;-;1;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;1;-;26
"210860 PINHEIRO";-;31;-;2;2;-;-;-;3;20;10;-;3;4;2;-;-;-;1;1;1;-;-;-;3;-;1;-;-;-;-;-;-;-;3;-;87
"210870 PIO XII";4;8;-;1;-;-;-;-;-;2;-;-;-;-;2;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;18
"210880 PIRAPEMAS";-;11;-;1;-;-;-;-;-;-;1;-;-;1;1;-;-;-;1;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;1;-;18
"210890 POCAO DE PEDRAS";-;8;-;1;-;-;-;-;-;2;2;-;-;1;1;-;-;-;1;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;17
"210900 PORTO FRANCO";1;8;-;1;-;-;-;-;2;4;3;-;5;-;1;-;-;-;1;-;1;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;28
"210905 PORTO RICO DO MARANHAO";-;3;-;-;-;1;-;-;-;-;-;-;-;-;1;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;6
"210910 PRESIDENTE DUTRA";-;15;1;2;-;-;-;-;7;21;7;-;2;4;2;-;-;-;1;1;1;1;-;-;-;-;-;-;-;-;1;-;-;-;2;-;68
"210920 PRESIDENTE JUSCELINO";-;4;-;1;-;-;-;-;-;-;-;-;1;-;1;-;-;-;1;-;-;-;-;-;1;-;-;-;-;-;1;-;-;-;-;-;10
"210923 PRESIDENTE MEDICI";4;2;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;1;-;-;1;-;-;-;-;-;-;-;-;-;-;-;10
"210927 PRESIDENTE SARNEY";1;17;-;1;-;-;-;-;-;-;-;1;-;-;2;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;23
"210930 PRESIDENTE VARGAS";-;4;-;-;-;1;-;-;-;-;-;-;-;-;1;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;7
"210940 PRIMEIRA CRUZ";-;8;-;1;-;-;-;-;-;-;-;1;-;-;1;-;-;-;1;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;14
"210945 RAPOSA";-;6;-;1;1;-;-;-;-;1;1;-;-;-;1;-;-;-;1;-;1;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;14
"210950 RIACHAO";2;5;-;1;-;-;-;-;-;3;1;-;-;-;-;-;-;-;1;-;1;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;15
"210955 RIBAMAR FIQUENE";-;4;-;1;-;-;-;-;-;-;-;-;-;1;3;-;-;-;1;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;1;-;12
"210960 ROSARIO";-;13;-;2;-;-;-;-;-;3;1;-;2;1;1;-;-;-;1;-;1;-;-;-;1;-;-;-;-;-;-;-;-;-;2;-;28
"210970 SAMBAIBA";1;4;-;-;-;1;-;-;-;-;-;-;-;1;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;8
"210975 SANTA FILOMENA DO MARANHAO";-;3;-;-;-;1;-;-;-;-;-;1;-;1;1;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;8
"210980 SANTA HELENA";1;11;-;1;-;-;-;-;-;4;2;-;-;-;2;-;-;-;1;-;1;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;24
"210990 SANTA INES";2;22;4;3;-;-;-;-;4;37;11;-;-;6;1;-;-;-;1;1;1;-;-;-;1;-;-;-;-;-;-;-;-;-;1;1;96
"211000 SANTA LUZIA";1;25;-;1;-;-;-;-;1;3;-;1;-;1;1;-;-;-;1;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;36
"211003 SANTA LUZIA DO PARUA";-;9;-;1;-;1;-;-;-;-;1;-;-;1;1;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;15
"211010 SANTA QUITERIA DO MARANHAO";-;13;-;1;-;-;-;-;-;-;1;-;-;1;1;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;19
"211020 SANTA RITA";5;21;3;1;-;-;-;-;-;-;-;-;2;1;-;-;-;-;1;-;1;-;-;-;3;-;-;-;-;-;-;1;-;2;1;1;43
"211023 SANTANA DO MARANHAO";-;5;-;1;-;-;-;-;-;-;-;1;-;1;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;10
"211027 SANTO AMARO DO MARANHAO";1;9;-;1;-;-;-;-;-;-;-;1;-;-;1;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;14
"211030 SANTO ANTONIO DOS LOPES";-;8;-;1;-;-;-;-;-;4;-;-;-;-;1;-;-;-;1;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;17
"211040 SAO BENEDITO DO RIO PRETO";-;10;-;1;-;-;-;-;-;2;1;-;-;1;2;-;-;-;1;-;1;1;-;-;2;-;-;-;-;-;-;-;-;-;-;-;22
"211050 SAO BENTO";2;20;1;1;-;-;-;-;-;-;4;-;-;-;1;-;-;-;1;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;31
"211060 SAO BERNARDO";3;13;-;1;-;-;-;-;-;1;2;-;-;-;2;-;-;-;1;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;2;-;26
"211065 SAO DOMINGOS DO AZEITAO";-;5;-;1;-;-;-;-;-;-;1;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;8
"211070 SAO DOMINGOS DO MARANHAO";-;19;2;1;-;-;-;-;-;5;2;-;1;1;1;-;-;-;1;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;35
"211080 SAO FELIX DE BALSAS";-;3;-;-;-;1;-;-;-;-;-;1;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;6
"211085 SAO FRANCISCO DO BREJAO";3;4;-;1;-;-;-;-;-;-;-;-;-;-;1;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;10
"211090 SAO FRANCISCO DO MARANHAO";-;12;-;1;-;-;-;-;-;1;1;1;2;1;1;-;-;-;1;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;1;23
"211100 SAO JOAO BATISTA";1;8;-;1;-;-;-;-;-;-;-;-;-;-;1;-;-;-;1;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;14
"211102 SAO JOAO DO CARU";5;-;-;1;-;-;-;-;-;-;-;-;-;-;1;-;-;-;1;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;9
"211105 SAO JOAO DO PARAISO";-;5;-;1;-;-;-;-;-;-;2;-;-;-;1;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;10
"211107 SAO JOAO DO SOTER";2;8;-;1;-;-;-;-;-;3;1;1;1;1;3;-;-;-;1;-;1;-;-;-;1;-;-;-;-;-;-;-;-;-;1;-;25
"211110 SAO JOAO DOS PATOS";-;10;-;1;-;-;-;-;1;7;3;-;1;1;1;-;-;-;1;1;1;-;-;1;-;-;-;-;-;-;-;-;-;-;1;-;30
"211120 SAO JOSE DE RIBAMAR";1;37;3;1;2;-;-;1;8;20;6;-;3;5;2;1;-;-;1;-;1;1;-;1;2;-;-;2;-;-;1;1;-;1;1;-;102
"211125 SAO JOSE DOS BASILIOS";3;4;-;1;-;-;-;-;-;-;-;-;-;1;1;-;-;-;1;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;12
"211130 SAO LUIS";-;66;128;28;17;3;2;2;369;750;271;3;18;107;6;12;1;6;2;5;5;-;2;7;1;3;1;22;-;-;2;6;1;1;6;5;1858
"211140 SAO LUIS GONZAGA DO MARANHAO";1;10;-;1;-;-;-;-;1;1;-;1;-;-;1;-;-;-;1;-;1;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;19
"211150 SAO MATEUS DO MARANHAO";-;11;-;2;-;-;-;-;-;9;1;-;1;1;-;-;-;-;1;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;27
"211153 SAO PEDRO DA AGUA BRANCA";-;4;-;1;-;-;-;-;2;-;-;-;1;-;1;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;11
"211157 SAO PEDRO DOS CRENTES";4;1;-;1;-;-;-;-;3;-;-;-;-;-;1;-;-;-;1;-;-;1;-;-;-;-;-;-;-;-;1;-;-;-;-;-;13
"211160 SAO RAIMUNDO DAS MANGABEIRAS";-;12;3;1;-;-;-;-;-;-;-;-;2;1;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;2;-;-;-;-;-;22
"211163 SAO RAIMUNDO DO DOCA BEZERRA";3;3;-;1;-;-;-;-;1;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;9
"211167 SAO ROBERTO";3;4;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;8
"211170 SAO VICENTE FERRER";3;11;-;1;-;-;-;-;-;2;-;-;-;-;2;-;-;-;1;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;21
"211172 SATUBINHA";3;4;-;1;-;-;-;-;-;-;-;-;-;1;1;-;-;-;1;-;-;-;-;-;1;-;-;-;-;-;1;-;-;-;-;-;13
"211174 SENADOR ALEXANDRE COSTA";-;6;-;1;-;-;-;-;-;-;-;-;-;-;1;-;-;-;1;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;10
"211176 SENADOR LA ROCQUE";1;8;-;-;-;-;-;-;-;1;-;-;-;1;2;-;-;-;1;-;-;-;-;-;2;-;-;-;-;-;-;-;-;-;-;-;16
"211178 SERRANO DO MARANHAO";1;5;-;1;-;-;-;-;-;-;-;1;-;-;1;-;-;-;1;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;12
"211180 SITIO NOVO";2;10;2;1;-;-;-;-;-;-;-;1;1;-;1;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;19
"211190 SUCUPIRA DO NORTE";-;5;-;1;-;-;-;-;-;-;1;-;-;1;1;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;10
"211195 SUCUPIRA DO RIACHAO";2;2;-;1;-;-;-;-;-;-;-;-;-;1;1;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;8
"211200 TASSO FRAGOSO";8;-;2;1;-;-;-;-;-;2;1;-;-;-;1;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;16
"211210 TIMBIRAS";-;9;-;1;-;-;-;-;-;5;-;-;1;1;-;-;-;-;1;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;19
"211220 TIMON";-;44;1;2;-;-;-;-;11;25;12;-;6;1;3;-;-;1;1;1;3;-;-;1;2;-;1;-;-;1;-;-;-;-;1;1;118
"211223 TRIZIDELA DO VALE";3;14;-;1;-;-;-;-;-;3;-;1;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;23
"211227 TUFILANDIA";5;3;-;1;-;-;-;-;-;-;-;-;-;-;1;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;11
"211230 TUNTUM";-;19;-;1;-;-;-;-;-;4;1;1;6;-;1;-;-;-;1;-;2;1;-;-;-;-;1;-;-;-;-;-;-;-;1;-;39
"211240 TURIACU";8;10;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;21
"211245 TURILANDIA";4;4;-;1;-;1;-;-;-;2;1;-;1;-;2;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;17
"211250 TUTOIA";-;24;2;1;-;-;-;-;1;2;5;-;-;2;-;-;-;-;1;-;-;1;-;-;1;-;-;-;-;-;-;-;-;-;-;1;41
"211260 URBANO SANTOS";2;13;-;1;-;-;-;-;-;1;-;-;-;1;1;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;20
"211270 VARGEM GRANDE";-;18;-;1;-;-;-;-;-;2;1;-;-;1;1;-;-;-;1;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;26
"211280 VIANA";-;23;-;2;-;-;-;-;-;5;3;-;-;1;3;-;-;-;1;1;1;-;-;-;-;-;-;-;-;-;-;-;-;-;2;-;42
"211285 VILA NOVA DOS MARTIRIOS";1;5;-;1;-;-;-;-;-;-;-;-;1;-;2;-;-;-;1;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;12
"211290 VITORIA DO MEARIM";1;13;-;1;-;-;-;-;-;7;1;-;2;-;2;-;-;-;1;-;1;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;30
"211300 VITORINO FREIRE";1;15;-;1;-;-;-;-;-;4;-;1;-;-;-;-;-;-;1;-;1;1;-;-;1;-;-;-;-;-;-;-;-;-;-;-;26
"211400 ZE DOCA";-;17;2;1;-;-;-;-;2;3;-;-;-;2;1;-;-;-;1;1;1;-;2;-;-;-;-;-;-;-;-;-;-;-;1;-;34
"Total";353;2200;275;260;30;25;3;4;638;1583;610;56;156;258;230;82;4;8;220;30;118;30;60;24;109;5;11;27;1;1;29;17;1;13;78;23;7572
 Fonte: Ministério da Saúde - Cadastro Nacional dos Estabelecimentos de Saúde do Brasil - CNES
 Nota:
 - Os dados relativos ao Cadastro Nacional de Estabelecimentos de Saúde (CNES) exibidos no TABNET referem-se aos registros constantes no Banco de Dados Nacional do CNES com status ATIVO.
 - A partir do processamento de junho de 2012, houve mudança na classificação da natureza e esfera dos estabelecimentos. Com isso, temos que:
 
 Até maio de 2012 estas informações estão disponíveis como "Natureza" e "Esfera Administrativa".
 De junho de 2012 a outubro de 2015, estão disponíveis tanto como "Natureza" e "Esfera Administrativa", como "Natureza Jurídica" e "Esfera Jurídica".
 A partir de novembro de 2015, estão disponíveis como "Natureza Jurídica" e "Esfera Jurídica".
 
